MES,CODIGOCLIENTE,VAR_0057,VAR_0058,VAR_0059,VAR_0060,VAR_0061
201701,IBK_CODUNICO00016822620,PRIMER_CANAL_1,PRODUCTO_1,CANAL_1,CANAL_2,0.497958585287225
201701,IBK_CODUNICO00024115640,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.482661648148589
201701,IBK_CODUNICO00023285171,PRIMER_CANAL_5,PRODUCTO_4,INF_NO_DISP,CANAL_1,0.49800833321617
201701,IBK_CODUNICO00025978595,PRIMER_CANAL_4,PRODUCTO_1,INF_NO_DISP,CANAL_2,0.491717885085426
201701,IBK_CODUNICO00021927962,PRIMER_CANAL_5,PRODUCTO_1,CANAL_2,CANAL_2,0.48293914909053604
201701,IBK_CODUNICO00024938307,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.48288211308047996
201701,IBK_CODUNICO00028963590,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.456269825940632
201701,IBK_CODUNICO00024583266,PRIMER_CANAL_1,PRODUCTO_3,INF_NO_DISP,CANAL_2,0.456269825940632
201701,IBK_CODUNICO00023489494,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.456269825940632
201701,IBK_CODUNICO00025905351,PRIMER_CANAL_1,PRODUCTO_1,INF_NO_DISP,CANAL_2,0.456269825940632
201701,IBK_CODUNICO00023891367,PRIMER_CANAL_4,PRODUCTO_1,INF_NO_DISP,CANAL_2,0.499418438595122
201701,IBK_CODUNICO00027688231,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.46026904657449796
201701,IBK_CODUNICO00022317686,PRIMER_CANAL_1,PRODUCTO_1,INF_NO_DISP,CANAL_2,0.49229655004318795
201701,IBK_CODUNICO00026220823,PRIMER_CANAL_5,PRODUCTO_1,INF_NO_DISP,CANAL_1,0.46020298435284995
201701,IBK_CODUNICO0008267680,PRIMER_CANAL_1,PRODUCTO_3,INF_NO_DISP,CANAL_2,0.42324524693037396
201701,IBK_CODUNICO00027925024,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.456269825940632
201701,IBK_CODUNICO00028667404,PRIMER_CANAL_4,PRODUCTO_3,INF_NO_DISP,CANAL_4,0.4993206653157461
201701,IBK_CODUNICO00023391153,PRIMER_CANAL_1,PRODUCTO_4,INF_NO_DISP,CANAL_2,0.47370234620817997
201701,IBK_CODUNICO00027869505,PRIMER_CANAL_5,PRODUCTO_3,INF_NO_DISP,CANAL_1,0.362540728452905
201701,IBK_CODUNICO00029369672,PRIMER_CANAL_4,PRODUCTO_4,INF_NO_DISP,CANAL_1,0.47275919121317894
201701,IBK_CODUNICO00022174680,PRIMER_CANAL_1,PRODUCTO_1,INF_NO_DISP,CANAL_2,0.446205968007681
